2024-08-15 00:29:41,320 [modloading-worker-0] WARN treasure2 | TreasureLootTableRegistry.java:173 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:sapphire_lock by rarity -> EPIC
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:diamond_lock by rarity -> RARE
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:ember_lock by rarity -> SCARCE
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:gold_lock by rarity -> SCARCE
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:wood_lock by rarity -> COMMON
2024-08-15 00:29:50,466 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:iron_lock by rarity -> UNCOMMON
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:161 | registering lock -> treasure2:topaz_lock by rarity -> SCARCE
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:viking_chest by rarity -> UNCOMMON
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:pirate_chest by rarity -> SCARCE
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:safe by rarity -> RARE
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:cauldron_chest by rarity -> CAULDRON
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:crate_chest by rarity -> UNCOMMON
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:crate_chest_moldy by rarity -> COMMON
2024-08-15 00:29:50,467 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:dread_pirate_chest by rarity -> EPIC
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:spider_chest by rarity -> RARE
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:ironbound_chest by rarity -> UNCOMMON
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:skull_chest by rarity -> SKULL
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:milk_crate by rarity -> COMMON
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:gold_skull_chest by rarity -> GOLD_SKULL
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:gold_strongbox by rarity -> RARE
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:iron_strongbox by rarity -> SCARCE
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:crystal_skull_chest by rarity -> CRYSTAL_SKULL
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:wood_chest by rarity -> COMMON
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:wither_chest by rarity -> WITHER
2024-08-15 00:29:50,468 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:compressor_chest by rarity -> EPIC
2024-08-15 00:29:50,469 [main] INFO treasure2 | TreasureTags.java:178 | registering chest -> treasure2:cardboard_box by rarity -> COMMON
2024-08-15 00:29:50,469 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:white_pearl by rarity -> RARE
2024-08-15 00:29:50,469 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:onyx by rarity -> RARE
2024-08-15 00:29:50,469 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:ruby by rarity -> RARE
2024-08-15 00:29:50,469 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:sapphire by rarity -> EPIC
2024-08-15 00:29:50,469 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:black_pearl by rarity -> EPIC
2024-08-15 00:29:50,470 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:topaz by rarity -> SCARCE
2024-08-15 00:29:50,470 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> minecraft:diamond by rarity -> SCARCE
2024-08-15 00:29:50,470 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:gold_coin by rarity -> SCARCE
2024-08-15 00:29:50,470 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> minecraft:emerald by rarity -> SCARCE
2024-08-15 00:29:50,470 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:silver_coin by rarity -> UNCOMMON
2024-08-15 00:29:50,470 [main] INFO treasure2 | TreasureTags.java:195 | registering wishable -> treasure2:copper_coin by rarity -> COMMON
2024-08-15 00:29:51,447 [Server thread] INFO treasure2 | WorldEventHandler.java:57 | In world load event
2024-08-15 00:29:51,448 [Server thread] INFO treasure2 | WorldEventHandler.java:67 | In world load event for dimension minecraft:overworld
2024-08-15 00:29:51,987 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:792 | biome -> 'minecraft:desert' is not registgered
2024-08-15 00:29:51,987 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:792 | biome -> 'minecraft:desert' is not registgered
2024-08-15 00:29:51,988 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:792 | biome -> 'minecraft:desert' is not registgered
2024-08-15 00:30:05,807 [Server thread] INFO treasure2 | WorldEventHandler.java:57 | In world load event
2024-08-15 00:30:05,807 [Server thread] INFO treasure2 | WorldEventHandler.java:67 | In world load event for dimension minecraft:the_end
2024-08-15 00:30:05,812 [Server thread] INFO treasure2 | WorldEventHandler.java:57 | In world load event
2024-08-15 00:30:05,812 [Server thread] INFO treasure2 | WorldEventHandler.java:67 | In world load event for dimension minecraft:the_nether
2024-08-15 00:30:14,671 [Worker-Main-2] INFO treasure2 | WellGenerator.java:172 | CHEATER! Wishing Well at coords: -72 77 46
2024-08-15 00:30:51,394 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:162 | AbstractTreasureChestBlock | newBlockEntity | lockStates -> [LockState [slot=LockSlot [index=0, face=NORTH, xOffset=0.5, yOffset=0.55, zOffset=0.17, rotation=0.0], lockItem=null]]
2024-08-15 00:30:51,395 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:163 | AbstractTreasureChestBlock | newBlockEntity | tileEntity -> mod.gottsch.forge.treasure2.core.block.entity.VikingChestBlockEntity@333bf62a @ BlockPos{x=-3, y=43, z=1}
2024-08-15 00:30:51,422 [Server thread] INFO treasure2 | PitChestFeatureGenerator.java:130 | CHEATER! UNCOMMON chest at coords: -3 63 1
